3SsnPorch,1stFlrSF,YearRemodAdd,BsmtUnfSF,MasVnrArea,2ndFlrSF,GarageArea,MiscVal,BsmtFullBath,ScreenPorch,TotRmsAbvGrd,OverallQual,Id,Fireplaces,LotFrontage,GarageCars,OpenPorchSF,FullBath,OverallCond,MSSubClass,KitchenAbvGr,YearBuilt,LotArea,YrSold,BsmtFinSF2,BsmtHalfBath,GrLivArea,GarageYrBlt,BsmtFinSF1,MoSold,HalfBath,EnclosedPorch,PoolArea,TotalBsmtSF,LowQualFinSF,BedroomAbvGr,WoodDeckSF,SalePrice,SaleCondition
0,896,1961,270.0,0.0,0,730.0,0,0.0,120,5,5,1461,0,80.0,1.0,0,1,6,20,1,1961,11622,2010,144.0,0.0,896,1961.0,468.0,6,0,0,0,882.0,0,2,140,144732.7227241248,Normal
0,1329,1958,406.0,108.0,0,312.0,12500,0.0,0,6,6,1462,0,81.0,1.0,36,1,6,20,1,1958,14267,2010,0.0,0.0,1329,1958.0,923.0,6,1,0,0,1329.0,0,3,393,74701.90476281941,Normal
0,928,1998,137.0,0.0,701,482.0,0,0.0,0,6,5,1463,1,74.0,2.0,34,2,5,60,1,1997,13830,2010,0.0,0.0,1629,1997.0,791.0,3,1,0,0,928.0,0,3,212,188514.56611970067,Normal
0,926,1998,324.0,20.0,678,470.0,0,0.0,0,7,6,1464,1,78.0,2.0,36,2,6,60,1,1998,9978,2010,0.0,0.0,1604,1998.0,602.0,6,1,0,0,926.0,0,3,360,175502.65614521503,Normal
0,1280,1992,1017.0,0.0,0,506.0,0,0.0,144,5,8,1465,0,43.0,2.0,82,2,5,120,1,1992,5005,2010,0.0,0.0,1280,1992.0,263.0,1,0,0,0,1280.0,0,2,0,191013.31586293876,Normal
0,763,1994,763.0,0.0,892,440.0,0,0.0,0,7,6,1466,1,75.0,2.0,84,2,5,60,1,1993,10000,2010,0.0,0.0,1655,1993.0,0.0,4,1,0,0,763.0,0,3,157,168681.83859317005,Normal
0,789,1998,789.0,0.0,676,393.0,0,0.0,0,7,6,1468,1,63.0,2.0,75,2,5,60,1,1998,8402,2010,0.0,0.0,1465,1998.0,0.0,5,1,0,0,789.0,0,3,0,170292.38849505782,Normal
0,1341,1990,663.0,0.0,0,506.0,0,1.0,0,5,7,1469,1,85.0,2.0,0,1,5,20,1,1990,10176,2010,0.0,0.0,1341,1990.0,637.0,2,1,0,0,1300.0,0,2,192,152224.03882101178,Normal
0,882,1970,0.0,0.0,0,525.0,0,1.0,0,4,4,1470,0,70.0,2.0,0,1,5,20,1,1970,8400,2010,78.0,0.0,882,1970.0,804.0,4,0,0,0,882.0,0,2,240,122534.03252102435,Normal
0,1337,1999,354.0,0.0,0,511.0,0,1.0,0,5,7,1471,1,26.0,2.0,68,2,5,120,1,1999,5858,2010,0.0,0.0,1337,1999.0,1051.0,6,0,0,0,1405.0,0,2,203,191852.39886005223,Normal
0,483,1971,327.0,504.0,504,264.0,0,0.0,0,5,6,1472,0,21.0,1.0,0,1,5,160,1,1971,1680,2010,0.0,0.0,987,1971.0,156.0,2,1,0,0,483.0,0,2,275,232749.4534202516,Normal
0,525,1971,225.0,492.0,567,320.0,0,0.0,0,6,5,1473,0,21.0,1.0,0,1,5,160,1,1971,1680,2010,0.0,0.0,1092,1997.0,300.0,3,1,0,0,525.0,0,3,0,230752.88587462902,Normal
